INFO  - 2016-02-15 01:31:00.330; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-02-15 01:31:00.511; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-02-15 01:31:00.511; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-02-15 01:31:00.641; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/shreejit/RA/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/shreejit/RA/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_9,generation=9}
INFO  - 2016-02-15 01:31:00.641; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 9
INFO  - 2016-02-15 01:31:00.795; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@58385dae[collection1] main
INFO  - 2016-02-15 01:31:00.811; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/shreejit/RA/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-02-15 01:31:00.811; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/shreejit/RA/solr-4.10.4/example/solr/collection1/conf}
INFO  - 2016-02-15 01:31:00.830; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/shreejit/RA/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-02-15 01:31:00.842; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/shreejit/RA/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-02-15 01:31:00.843; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2016-02-15 01:31:00.843; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2016-02-15 01:31:00.844; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2016-02-15 01:31:00.855; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2016-02-15 01:31:00.866; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2016-02-15 01:31:00.870; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/shreejit/RA/solr-4.10.4/example/solr/collection1/conf/elevate.xml
INFO  - 2016-02-15 01:31:00.917; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2016-02-15 01:31:00.917; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@58385dae[collection1] main{StandardDirectoryReader(segments_9:17:nrt _1(4.10.4):C1 _4(4.10.4):C122)}
INFO  - 2016-02-15 01:31:00.966; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=117 status=0 QTime=46 
INFO  - 2016-02-15 01:31:00.981; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2016-02-15 01:31:00.981; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2016-02-15 01:31:00.982; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2016-02-15 01:31:00.986; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@58385dae[collection1] main{StandardDirectoryReader(segments_9:17:nrt _1(4.10.4):C1 _4(4.10.4):C122)}
INFO  - 2016-02-15 01:31:00.991; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2016-02-15 01:31:00.992; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/shreejit/RA/solr-4.10.4/example
